ydstogo,avg_yards
0.0,0.947368421052632
1.0,2.74799465240642
2.0,3.77462887989204
3.0,4.08179012345679
4.0,4.25496688741722
5.0,4.82511210762332
6.0,4.48448275862069
7.0,5.33843537414966
8.0,4.40315315315315
9.0,4.93782383419689
10.0,4.68249186648994
11.0,3.05022831050228
12.0,3.95327102803738
13.0,4.76086956521739
14.0,7.21428571428571
15.0,4.87027027027027
16.0,5.56410256410256
17.0,6.0
18.0,5.94594594594595
19.0,5.20588235294118
20.0,6.12087912087912
21.0,8.63636363636364
22.0,6.11111111111111
23.0,10.2666666666667
24.0,8.28571428571429
25.0,7.45454545454545
26.0,7.22222222222222
27.0,5.0
28.0,12.0
29.0,5.16666666666667
30.0,3.0
31.0,2.0
33.0,7.66666666666667
34.0,8.0
36.0,9.0
